Município,Valor
TANGARA DA SERRA,0.00015135605566118948
BARRETOS,0.00020352836778390172
SALTO,0.00017538584886750853
ITAPORANGA,0.0006590654451987082
JAGUARIUNA,0.000374646640100814
RIO DO SUL,0.0003333055578701775
CONSELHEIRO LAFAIETE,0.00012345107479591995
PATOS,0.00010167110322389826
TIMOTEO,0.00017666283897182228
UBA,0.00010274236495800406
SANTANA DO LIVRAMENTO,0.00015723064425256483
ITABIRA,0.00014060742407199101
TAQUARA,0.00022575715476521257
BOA ESPERANCA,0.003459352606869286
BURITIS,0.00047975052972454323
CACERES,0.00010541740019607636
CARAGUATATUBA,0.0001377756526108486
TRAMANDAI,0.00020899832801337588
CORONEL FABRICIANO,0.00016320609302747304
CARAZINHO,0.0002409058058299205
SANTA INES,0.0075282308657465494
ABAETETUBA,5.028916268544129e-05
BARRA DO GARCAS,0.0001635724216897031
FRANCO DA ROCHA,8.946144211844694e-05
BARCARENA,9.446810520597984e-05
SAO BORJA,0.0001999366867158733
CALDAS NOVAS,0.00010730074252113825
SANTO ANTONIO DE JESUS,9.767532721234616e-05
PICOS,0.0001402506661906644
VALPARAISO DE GOIAS,6.390333168733843e-05
TRES RIOS,0.00017043656107715906
GUAIBA,0.00014250959394944982
MURIAE,0.0001645458534444932
IPORA,0.0008707009142359599
MUNDO NOVO,0.0021217907914279654
SAO BENTO DO SUL,0.0003043748024490465
TEOFILO OTONI,0.00012062127049674677
JEQUIE,6.405083073927469e-05
PATO BRANCO,0.00036973867824386053
SAPIRANGA,0.00012494221422592052
SABARA,9.480401093892434e-05
EUNAPOLIS,0.0001223819014650862
VIDEIRA,0.0003544114903935833
CRUZEIRO DO SUL,0.0024724657226342997
LUZIANIA,6.146339618359589e-05
RIBEIRAO PIRES,0.0001288670172923429
OSORIO,0.00023699745766363596
ARAXA,0.00017701258652654724
CRATO,9.02045387917102e-05
ITAPERUNA,0.00014450867052023122
VILHENA,0.00013697155883417636
SIMOES FILHO,7.364692192689807e-05
CATALAO,0.00018921816854833623
LAVRAS,0.00019087065649962302
LUIS EDUARDO MAGALHAES,0.0001330937645571305
ESTEIO,0.00018011743656864276
NOSSA SENHORA DO SOCORRO,5.923341195222556e-05
FERRAZ DE VASCONCELOS,5.597964376590331e-05
FORMOSA,9.702144173862424e-05
FAZENDA RIO GRANDE,0.00012744598251048978
SAO MATEUS,9.800817237375794e-05
VITORIA DE SANTO ANTAO,8.597035455607058e-05
VACARIA,0.00021028914757791964
TUCURUI,7.81629959007851e-05
ITAPEVI,9.960118027398625e-05
BOM JESUS,0.006213592233009709
CAIEIRAS,0.00011675991243006568
BRASILIA (PLANALTINA),0.875
SANTA CRUZ DO CAPIBARIBE,0.00010009372412349746
QUIXADA,0.00011322335571381665
MESQUITA,0.00144248106743599
ARARIPINA,7.070135746606335e-05
CIANORTE,0.0001908943399828195
FERNANDOPOLIS,0.0002305409066021152
ARACRUZ,0.00013578917760254507
ARIQUEMES,0.00015521853857180683
PRIMAVERA DO LESTE,0.00023774805046598618
GUANAMBI,0.00014129615674453655
JALES,0.0002642222719050426
TAQUARITINGA,0.00022662296910954606
UBATUBA,8.712319219376198e-05
ITUIUTABA,0.00016151251722008455
MIRASSOL,0.0001658292290599141
ALFENAS,0.00022361915173801773
CAMETA,4.3052725237507534e-05
CACOAL,0.00016299349190271618
